City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ciudad bolivar,8.1222,-63.5497,32.73,54,100,3.1,VE,1698421992
1,olyokminsk,60.3736,120.4264,2.6,89,100,2.33,RU,1698421992
2,karratha,-20.7377,116.8463,27.74,69,13,2.9,AU,1698421993
3,iskateley,67.6803,53.1512,-11.66,100,36,1.79,RU,1698421994
4,figuig (centre),32.1089,-1.2286,27.46,16,69,3.97,MA,1698421995
5,kiri buru,22.0833,85.35,19.31,57,0,0.71,IN,1698421995
6,albany,42.6001,-73.9662,23.78,59,16,1.34,US,1698421879
7,badger,64.8,-147.5333,-9.8,85,0,0.0,US,1698421996
8,sao jose da coroa grande,-8.8978,-35.1478,29.42,62,58,5.91,BR,1698421997
9,port-aux-francais,-49.35,70.2167,3.24,79,28,6.58,TF,1698421972
10,papatowai,-46.5619,169.4708,6.9,77,94,7.48,NZ,1698421998
11,tacna,-18.0056,-70.2483,21.11,53,0,2.57,PE,1698421999
12,acarau,-2.8856,-40.12,31.55,53,67,9.01,BR,1698421999
13,puerto natales,-51.7236,-72.4875,8.25,76,100,2.06,CL,1698422000
14,hugo,45.16,-92.9933,3.32,90,100,7.72,US,1698422000
15,punta arenas,-53.15,-70.9167,8.06,76,100,8.23,CL,1698422001
16,keflavik,64.0049,-22.5624,8.95,71,0,3.6,IS,1698422002
17,soledad de doblado,19.05,-96.4167,28.91,66,34,1.58,MX,1698422003
18,blackmans bay,-43.0167,147.3167,6.96,89,72,3.44,AU,1698422003
19,lamesa,32.7376,-101.951,11.4,72,99,7.67,US,1698422004
20,whakatane,-37.9585,176.9854,10.28,81,100,1.34,NZ,1698422004
21,wailua homesteads,22.0669,-159.378,21.24,73,0,3.6,US,1698422005
22,grytviken,-54.2811,-36.5092,1.35,76,79,4.96,GS,1698421967
23,klyuchi,52.2667,79.1667,-1.35,48,8,3.13,RU,1698422006
24,bykovo,55.6361,38.0803,-0.77,96,100,6.0,RU,1698421807
25,kapa'a,22.0752,-159.319,21.99,73,0,3.6,US,1698421909
26,hamilton,39.1834,-84.5333,18.75,94,100,3.6,US,1698421597
27,tiksi,71.6872,128.8694,-15.87,99,99,2.45,RU,1698422009
28,queenstown,-31.8976,26.8753,18.78,58,78,5.07,ZA,1698422010
29,chonchi,-42.6128,-73.8092,11.73,80,85,6.25,CL,1698422011
30,arkhangel'sk,64.5401,40.5433,-1.04,83,100,2.54,RU,1698421948
31,utrik,11.2278,169.8474,27.74,78,44,4.28,MH,1698422012
32,edinburgh of the seven seas,-37.0676,-12.3116,13.97,83,100,13.5,SH,1698422012
33,felege neway,6.3,36.8833,19.51,91,97,1.28,ET,1698422013
34,nuuk,64.1835,-51.7216,-0.66,80,40,1.03,GL,1698422014
35,arraial do cabo,-22.9661,-42.0278,24.98,73,75,6.17,BR,1698422015
36,lebu,-37.6167,-73.65,12.91,82,99,6.59,CL,1698422015
37,susuman,62.7833,148.1667,-17.79,90,100,0.89,RU,1698422016
38,taoudenni,22.6783,-3.9836,38.86,10,0,3.09,ML,1698422016
39,ponta delgada,37.7333,-25.6667,21.22,99,94,3.13,PT,1698422017
40,west island,-12.1568,96.8225,25.99,78,40,6.17,CC,1698422017
41,ciudad lazaro cardenas,17.9583,-102.2,27.5,77,94,0.38,MX,1698422018
42,ushuaia,-54.8,-68.3,5.81,81,100,7.2,AR,1698421920
43,isafjordur,66.0755,-23.124,4.02,81,0,1.03,IS,1698422019
44,vilhena,-12.7406,-60.1458,29.12,65,75,6.17,BR,1698422019
45,bandarbeyla,9.4942,50.8122,27.14,82,100,6.41,SO,1698422020
46,weno,7.4515,151.8468,26.97,94,100,4.12,FM,1698422020
47,mayya,61.7333,130.2811,-16.38,92,98,2.76,RU,1698422021
